Lexical item,Level
feria de muestras,C1
certamen,C1
certamen de música,C1
recital,C1
grada,C1
palco,C1
presenciar un espectáculo,C1
acudir a un espectáculo,C1
hacer un número,C1
representar un número,C1
estar entregado,C1
estar enfervorizado,C1
estar agradecido,C1
estar el público entregado,C1
estar el público enfervorizado,C1
estar el público agradecido,C1
torneo,C1
encuentro,C1
certamen,C1
final,C1
semifinal,C1
cuartos de final,C1
eliminatoria,C1
hincha,C1
forofo,C1
seguidor,C1
oponente,C1
adversario,C1
derrotado,C1
grada,C1
tribuna,C1
pabellón,C1
lesión crónica,C1
lesión grave,C1
disputar un partido,C1
disputar un torneo,C1
disputar un encuentro,C1
llevarse la victoria,C1
llevarse la copa,C1
llevarse el trofeo,C1
lesionar,C1
lesionarse,C1
subir al podio,C1
comprar un décimo,C1
comprar una participación de lotería,C1
compartir un décimo,C1
compartir una participación de lotería,C1
llevar un décimo,C1
llevar una participación de lotería,C1
hacer una jugada,C1
anticipar una jugada,C1
ensayar una jugada,C1
fallar una jugada,C1
planear una jugada,C1
preparar una jugada,C1
jugar sucio,C1
jugar limpio,C1
echar a cara o cruz,C1
echar a suertes,C1
jugarse algo a cara o cruz,C1
jugarse algo a suertes,C1
ser un jugador empedernido,C1
ser un jugador astuto,C1
ser un jugador amateur,C1
saborear la victoria,C1
saborear el triunfo,C1
saborear el éxito,C1
alcanzar la victoria,C1
alcanzar el triunfo,C1
alcanzar el éxito,C1
conquistar la victoria,C1
conquistar el triunfo,C1
conquistar el éxito,C1
festejar la victoria,C1
festejar el triunfo,C1
festejar el éxito,C1
superar la derrota,C1
aceptar la derrota,C1
admitir la derrota,C1
aviso,C1
comunicado,C1
notificación,C1
declaración,C1
información de primera mano,C1
información confidencial,C1
comunicación fluida,C1
comunicación continua,C1
notificar,C1
declarar,C1
exponer,C1
manifestar,C1
confirmar una información,C1
confirmar una noticia,C1
confirmar un rumor,C1
contrastar una información,C1
contrastar una noticia,C1
contrastar un rumor,C1
difundir una información,C1
difundir una noticia,C1
difundir un rumor,C1
hacer circular una información,C1
hacer circular una noticia,C1
hacer circular un rumor,C1
estar al tanto de,C1
facilitar una información,C1
desvelar una información,C1
manipular una información,C1
opinar abiertamente,C1
opinar imparcialmente,C1
preguntar abiertamente,C1
preguntar insistentemente,C1
preguntar con malicia,C1
encabezamiento,C1
membrete,C1
antefirma,C1
cuerpo de la carta,C1
abrecartas,C1
matasellos,C1
carta manuscrita,C1
carta mecanografiada,C1
dirigir,C1
remitir,C1
fechar una carta,C1
dictar una carta,C1
descifrar una carta,C1
escribir unas letras,C1
escribir unas líneas,C1
escribirse,C1
cartearse,C1
mantener correspondencia,C1
auricular,C1
timbre,C1
teclado,C1
botón,C1
tecla,C1
almohadilla,C1
asterisco,C1
antena,C1
teléfono celular,C1
teléfono inalámbrico,C1
teléfono supletorio,C1
telefonía fija,C1
telefonía móvil,C1
centralita,C1
locutorio,C1
abonado,C1
usuario,C1
manos libres,C1
desvío de llamadas,C1
identificación de llamadas,C1
declaraciones,C1
primicia,C1
un comunicado oficial,C1
un comunicado de prensa,C1
un comunicado de última hora,C1
periodismo de investigación,C1
periodismo agresivo,C1
periodismo independiente,C1
titular polémico,C1
titular impactante,C1
abonarse,C1
conceder una exclusiva,C1
sacar una exclusiva,C1
publicar una exclusiva,C1
vender una exclusiva,C1
pactar una exclusiva,C1
hojear,C1
leer entre líneas,C1
salir en portada,C1
salir en primera página,C1
sacar en portada,C1
sacar en primera página,C1
publicar unas declaraciones,C1
difundir unas declaraciones,C1
dirección,C1
montaje,C1
producción,C1
iluminación,C1
vestuario,C1
productor,C1
guionista,C1
realizador,C1
maquillador,C1
