Lexical item,Level
adelgazar,B1
engordar,B1
estar agotado,B1
estar estresado,B1
estar resfriado,B1
estar mareado,B1
doctor,B1
enfermo,B1
clínica,B1
centro de salud,B1
médico de guardia,B1
hospital de guardia,B1
farmacia de guardia,B1
análisis de sangre,B1
análisis de orina,B1
dentista,B1
ginecólogo,B1
oculista,B1
psicólogo,B1
cirujano,B1
paciente,B1
pedir hora,B1
pedir cita,B1
hacerse una revisión,B1
hacerse unas pruebas de sangre,B1
hacerse unas pruebas de orina,B1
un control de sangre,B1
un control de orina,B1
un análisis de sangre,B1
un análisis de orina,B1
ingresar en un hospital,B1
ingresar en urgencias,B1
dar de alta,B1
dar de baja,B1
dar el alta,B1
dar la baja,B1
dar el alta médica,B1
dar la baja médica,B1
tirita,B1
alcohol,B1
agua oxigenada,B1
algodón,B1
termómetro,B1
antibiótico,B1
aspirina,B1
gotas,B1
vacuna,B1
pastilla,B1
darse una crema,B1
echarse unas gotas,B1
ponerse una vacuna,B1
ponerse el termómetro,B1
hacer una receta,B1
dar una receta,B1
hacer una receta médica,B1
dar una receta médica,B1
cepillo,B1
peine,B1
secador de pelo,B1
zapatillas,B1
gorro de ducha,B1
gorro de baño,B1
espuma de afeitar,B1
gel de afeitar,B1
maquinilla de afeitar,B1
cuchilla de afeitar,B1
pastilla de jabón,B1
perfume,B1
barra de labios,B1
corte de pelo,B1
peinado,B1
pintarse los ojos,B1
pintarse los labios,B1
tener las manos suave,B1
tener la piel suave,B1
cortarse el pelo,B1
DNI,B1
DNI Documento Nacional de Identidad,B1
visado,B1
cheques de viaje,B1
equipaje,B1
bolsa de aseo,B1
bolsa de viaje,B1
exceso de equipaje,B1
mapa de carreteras,B1
plano turístico,B1
callejero,B1
anular un billete,B1
cambiar un billete,B1
facturar el equipaje,B1
facturar las maletas,B1
perder el equipaje,B1
perder las maletas,B1
hacer un crucero,B1
hacer un safari,B1
viaje de trabajo,B1
viaje de estudios,B1
viaje de negocios,B1
viaje de larga duración,B1
viajar en familia,B1
viajar en grupo,B1
irse de puente,B1
irse de fin de semana,B1
marcharse de puente,B1
marcharse de fin de semana,B1
salir de puente,B1
salir de fin de semana,B1
hacer un viaje organizado,B1
contratar un viaje organizado,B1
hacer turismo,B1
subir de un tren,B1
subir de un autobús,B1
subir de un avión,B1
subirse a un tren,B1
subirse a un autobús,B1
subirse a un avión,B1
bajarse de un tren,B1
bajarse de un autobús,B1
bajarse de un avión,B1
arena,B1
olas,B1
sandalias,B1
sombrilla,B1
pelota,B1
buceador,B1
tomar el sol,B1
pasear por la orilla,B1
jugar en la arena,B1
paseo,B1
montañero,B1
senderista,B1
escalador,B1
cazador,B1
dar un paseo,B1
ir de paseo,B1
hacer una marcha,B1
hacer una excursión,B1
hacer senderismo,B1
hacer escalada,B1
hostal,B1
pensión,B1
tienda de campaña,B1
recepción,B1
entrada,B1
salida de emergencia,B1
recepcionista,B1
conserje,B1
saco de dormir,B1
manta,B1
nevera portátil,B1
ir de camping,B1
hacer camping,B1
haber servicio de habitaciones,B1
haber sala de reuniones,B1
haber instalaciones para minusválidos,B1
haber aparcamiento,B1
estar completo,B1
haber plazas libres,B1
autopista,B1
vía,B1
andén,B1
túnel,B1
semáforo,B1
paso de cebra,B1
paso de peatones,B1
carril bus,B1
carril bici,B1
haber caravana,B1
haber atasco,B1
haber un embotellamiento,B1
haber caravana,B1
haber un atasco,B1
haber un embotellamiento,B1
ir con retraso,B1
salir con retraso,B1
llegar con retraso,B1
parar,B1
viajero,B1
tranvía,B1
moto,B1
camión,B1
asiento,B1
fila,B1
pasillo,B1
maletero,B1
cinturón,B1
conducir,B1
aparcar,B1
parar,B1
girar,B1
subir de una bicicleta,B1
subir de una moto,B1
subir de un coche,B1
subirse a una bicicleta,B1
subirse a una moto,B1
subirse a un coche,B1
montarse en una bicicleta,B1
montarse en una moto,B1
montarse en un coche,B1
bajarse de una bicicleta,B1
bajarse de una moto,B1
bajarse de un coche,B1
hacer transbordo,B1
perder el tren,B1
perder el autobús,B1
barca,B1
piragua,B1
marinero,B1
capitán,B1
navegar,B1
subir de un barco,B1
subirse a un barco,B1
bajarse de un barco,B1
helicóptero,B1
globo,B1
ala delta,B1
parapente,B1
terminal,B1
punto de información,B1
