Lexical item,Level
paquete de harina,A2
paquete de arroz,A2
caja de galletas,A2
bote de mermelada,A2
bote de tomate,A2
litro de leche,A2
litro de agua,A2
kilo de patatas,A2
kilo de filetes,A2
un kilo,A2
medio kilo,A2
un cuarto de kilo,A2
cien gramos,A2
doscientos. gramos,A2
hacer la lista de la compra,A2
pesar,A2
dejar una propina,A2
dar una propina,A2
con IVA,A2
sin IVA,A2
pagar en efectivo,A2
sentirse bien,A2
sentirse mal,A2
tener gripe,A2
tener alergia,A2
tener fiebre,A2
tener tos,A2
llevar una vida sana,A2
tener una enfermedad,A2
tener dolor de cabeza,A2
tener dolor de espalda,A2
tener dolor de estómago,A2
tener tos,A2
tener fiebre,A2
doler,A2
estar cansado,A2
Seguridad Social,A2
ambulancia,A2
urgencias,A2
tomar una medicina,A2
tomar un medicamento,A2
ducha,A2
bañera,A2
toalla,A2
champú,A2
gel,A2
crema,A2
colonia,A2
desodorante,A2
cepillo de dientes,A2
pasta de dientes,A2
tener el pelo limpios,A2
tener el pelo sucios,A2
tener las manos limpios,A2
tener las manos sucios,A2
tener los dientes limpios,A2
tener los dientes sucios,A2
llevar el pelo limpios,A2
llevar el pelo sucios,A2
llevar las manos limpios,A2
llevar las manos sucios,A2
llevar los dientes limpios,A2
llevar los dientes sucios,A2
afeitarse,A2
peinarse,A2
cepillarse los dientes,A2
tener el pelo largo,A2
tener corto,A2
tener rizado,A2
tener liso,A2
llevar el pelo largo,A2
llevar corto,A2
llevar rizado,A2
llevar liso,A2
hacer las maletas,A2
deshacer las maletas,A2
mirar un plano,A2
mirar un mapa,A2
consultar un plano,A2
consultar un mapa,A2
tener un seguro de viaje,A2
reservar un billete de tren,A2
reservar un billete de avión,A2
reservar un billete de autobús,A2
guía turístico,A2
vuelo,A2
excursión,A2
viaje corto,A2
viaje largo,A2
ir de viaje,A2
ir de excursión,A2
ir de vacaciones,A2
viajar en avión,A2
viajar en barco,A2
viajar en tren,A2
viajar en coche,A2
viajar en autobús,A2
bañador,A2
biquini,A2
gorra,A2
sombrero,A2
gafas,A2
toalla,A2
bañarse,A2
botas,A2
botas de montaña,A2
mochila,A2
abrigo,A2
gorro,A2
guantes,A2
bufanda,A2
pensión completa,A2
media pensión,A2
alojamiento y desayuno,A2
reservar,A2
hacer una reserva,A2
carretera,A2
calle,A2
boca de metro,A2
mirar un plano de metro,A2
mirar un mapa,A2
ciclista,A2
coger un taxi,A2
coger el metro,A2
coger el tren,A2
tomar un taxi,A2
tomar el metro,A2
tomar el tren,A2
montar en bicicleta,A2
montar en moto,A2
coger un barco,A2
piloto,A2
azafata,A2
viajar en avión,A2
coger el avión,A2
tomar el avión,A2
rueda,A2
mecánico,A2
lavar el coche,A2
cheque,A2
moneda,A2
billete,A2
rico,A2
pobre,A2
negocio,A2
pagar en efectivo,A2
publicidad,A2
anuncio,A2
fábrica,A2
negocio,A2
despacho,A2
